X.1,Good time,Bad time,No opinion
,%,%,%
2026 Aug 3-24,34,62,4
2026 Apr 1-15,33,63,3
2026 Jan 2-17,38,59,3
2025 Nov 3-25,33,63,4
2025 Aug 1-20,41,54,5
2025 Apr 1-14,38,58,3
2025 Jan 2-15,48,45,6
2024 Oct 1-12,44,50,6
2024 Aug 1-20,45,50,5
2024 Apr 1-22,49,45,6
2024 Jan 2-22,55,39,7
2023 Nov 1-21,57,40,3
2023 Aug 1-23,56,43,2
2023 Apr 3-25,59,39,2
2023 Jan 2-22,64,33,3
2022 Nov 9-Dec 2,62,35,3
2022 Aug 1-23,69,30,1
2022 Apr 1-19,71,27,2
2022 Jan 3-16,72,25,3
2021 Oct 1-19,74,24,2
2021 Aug 2-17,72,26,2
2021 Apr 1-21,43,55,2
2021 Jan 4-15,27,71,2
2020 Nov 5-19 ^,36,61,3
2020 Jul 30-Aug 12,29,69,2
2020 Apr 1-14,22,77,1
2020 Jan 2-15,68,30,2
2019 Nov 1-14,65,34,2
2019 Oct 1-13,65,32,3
2019 Aug 1-14,69,29,2
2019 Jul 1-12,67,31,3
2019 Jun 3-16,66,32,2
2019 May 1-12,71,27,2
2019 Apr 1-9,65,32,3
2019 Mar 1-10,65,33,2
2019 Feb 1-10,69,29,2
2019 Jan 2-10,66,31,4
2018 Dec 3-12,66,30,4
2018 Nov 1-11,68,28,4
2018 Oct 1-10,68,28,3
2018 Sep 4-12,64,32,4
2018 Aug 1-12,65,32,4
2018 Jul 1-11,68,27,5
2018 Jun 1-13,65,32,3
2018 May 1-10,67,31,2
2018 Apr 2-11,62,35,3
2018 Mar 1-8,64,31,4
2018 Feb 1-10,64,33,3
2018 Jan 2-7,57,39,4
2017 Dec 4-11,62,34,3
2017 Nov 2-8,62,34,5
2017 Oct 5-11,61,33,5
2017 Sep 6-10,61,36,3
2017 Aug 2-6,59,36,5
2017 Jul 5-9,53,43,5
2017 Jun 7-11,58,36,6
2017 May 3-7,53,43,4
2017 Apr 5-9,50,45,5
2017 Mar 1-5,53,42,5
