X.1,Good thing,Bad thing,Mixed (vol.),No opinion
,%,%,%,%
2026 Jun 1-15,73,21,4,3
2025 Jun 2-26,79,17,2,2
2024 Jun 3-23,64,32,2,2
2023 Jun 1-22,68,27,3,1
2022 Jul 5-26,70,24,5,2
2021 Jun 1-Jul 5,75,21,3,1
2020 May 28-Jun 4,77,19,3,2
2019 Jun 3-16,76,19,4,*
2018 Jun 1-13 #,75,19,4,2
2017 Jun 7-11,71,23,4,2
2016 Jun 7-Jul 1 ^,72,25,2,1
2015 Jun 15-Jul 10 ^,73,24,2,1
2014 Jun 5-8,63,33,3,1
2013 Jun 13-Jul 5 ^,72,25,2,1
2012 Jun 7-10,66,29,3,2
2011 Jun 9-12,59,37,2,3
2010 Jul 8-11,57,36,4,2
2009 Jul 10-12,58,36,3,3
2008 Jun 5-Jul 6 ^,64,30,4,2
2007 Jun 4-24 ^,60,33,3,4
2006 Jun 8-25 ^,67,28,4,1
2005 Jun 6-25 ^,61,34,3,2
2003 Jun 12-18,58,36,4,2
2002 Jun 3-9,52,42,4,2
2001 Jun 11-17,62,31,5,2
