"Do you think marriages between same-sex couples should or should not be recognized by the law as valid, with 
the same rights as traditional marriages?",% Same-sex marriages should be valid,% Gay or lesbian relations are morally acceptable,% Changing one's gender is morally acceptable
2026,65,62,38
2025,68,64,40
2024,69,64,44
2023,71,64,43
2022,71,71,
2021,70,69,46
2020,67,66,
2019,63,63,
2018,67,67,
2017,64,63,
2016,61,60,
2015,60,63,
2014,55,58,
2013,53,59,
2012,50,54,
2011,53,56,
2010,44,52,
2009,40,49,
2008,40,48,
2007,46,47,
2006,42,44,
2005,37,45,
2004,42,42,
2003,,44,
2002,,38,
2001,,40,
1999,35,,
1996,27,,
