Year: Economy...?,Excellent (%),Good (%),Only Fair (%),Poor (%),No opinion (%)
2025-12,2,19,31,47,1
2025-11,2,19,38,40,1
2025-10,2,22,38,37,1
2025-09,3,25,36,37,0
2025-08,3,23,35,38,1
2025-07,3,26,34,36,0
2025-06,2,25,41,31,1
2025-05,2,21,38,37,1
2025-04,3,19,38,39,1
2025-03,2,18,44,36,0
2025-02,2,18,45,33,2
2025-01,4,22,33,40,1
2024-12,3,23,32,40,1
2024-11,4,22,32,40,1
2024-10,4,21,29,46,0
2024-09,3,19,29,48,0
2024-08,4,20,31,45,0
2024-07,3,19,32,46,0
2024-06,3,22,28,48,0
2024-05,4,18,33,46,0
2024-04,3,21,32,44,0
2024-03,4,26,30,39,1
2024-02,4,22,32,41,0
2024-01,5,22,29,45,0
2023-12,3,19,33,45,0
2023-11,2,17,31,50,0
2023-10,2,17,33,47,0
2023-09,3,17,32,48,0
2023-08,2,21,35,42,0
2023-07,2,20,35,42,0
2023-06,1,18,37,44,0
2023-05,1,16,36,47,0
2023-04,1,15,37,47,0
2023-03,1,15,40,43,0
2023-02,1,15,38,45,0
2023-01,2,15,38,45,0
2022-11,1,14,40,46,0
2022-10,2,12,37,49,0
2022-09,2,15,34,48,0
2022-08,1,15,36,47,1
2022-07,1,13,34,52,0
2022-06,0,11,34,54,0
2022-05,1,13,39,46,0
2022-04,2,18,38,42,0
2022-03,2,20,35,44,0
2022-02,3,18,37,42,0
2022-01,2,21,40,37,0
2021-12,1,17,40,42,1
2021-11,2,20,42,36,0
2021-10,2,23,42,33,0
2021-09,2,23,39,35,1
2021-08,2,26,42,29,0
2021-07,2,26,45,27,0
2021-06,3,27,43,26,1
2021-05,3,24,42,30,1
2021-04,2,26,46,26,0
2021-03,2,21,46,31,0
2021-02,2,18,49,31,0
2021-01,4,24,39,33,0
2020-12,7,26,38,29,0
2020-11,9,27,40,23,1
2020-09,7,26,37,29,0
2020-08,5,26,35,34,0
2020-07,4,24,41,30,1
2020-07,4,25,38,33,0
2020-05,4,19,41,36,1
2020-05,4,18,35,42,0
2020-04,4,19,33,43,1
2020-04,7,20,34,39,1
2020-03,15,39,35,11,0
2020-02,24,39,28,9,0
2020-01,22,40,30,8,0
2019-12,18,37,33,12,0
2019-11,16,39,35,9,0
2019-10,15,37,34,13,1
2019-09,15,35,36,14,0
2019-08,14,40,33,13,0
2019-07,16,37,34,12,1
2019-06,13,40,33,14,1
2019-05,11,40,37,12,0
2019-04,14,36,36,14,0
2019-03,13,40,35,12,0
2019-02,14,43,31,12,1
2019-01,12,37,36,14,1
2018-12,10,40,37,12,1
2018-11,17,38,31,14,0
2018-10,14,41,32,12,1
2018-10,14,40,33,12,0
2018-09,14,37,35,13,0
2018-08,12,42,33,13,1
2018-07,11,44,33,12,1
2018-06,10,41,36,13,0
2018-05,4,41,38,15,1
2018-04,7,36,43,13,1
2018-03,8,41,39,12,0
2018-02,9,41,36,14,0
2018-01,8,37,39,16,0
2017-12,7,36,38,18,1
2017-04,3,37,46,14,1
2016-04,2,23,46,28,0
2015-04,1,27,46,25,1
