Year: Job Market..?,Good Time (%),Bad Time (%),No opinion (%)
2025-11,33,63,4
2025-08,41,54,5
2025-04,38,58,3
2025-01,48,45,6
2024-10,44,50,6
2024-08,45,50,5
2024-04,49,45,6
2024-01,55,39,7
2023-11,57,40,3
2023-08,56,43,2
2023-04,59,39,2
2023-01,64,33,3
2022-11,62,35,3
2022-08,69,30,1
2022-04,71,27,2
2022-01,72,25,3
2021-10,74,24,2
2021-08,72,26,2
2021-04,43,55,2
2021-01,27,71,2
2020-11,36,61,3
2020-07,29,69,2
2020-04,22,77,1
2020-01,68,30,2
2019-11,65,34,2
2019-10,65,32,3
2019-08,69,29,2
2019-07,67,31,3
2019-06,66,32,2
2019-05,71,27,2
2019-04,65,32,3
2019-03,65,33,2
2019-02,69,29,2
2019-01,66,31,4
2018-12,66,30,4
2018-11,68,28,4
2018-10,68,28,3
2018-09,64,32,4
2018-08,65,32,4
2018-07,68,27,5
2018-06,65,32,3
2018-05,67,31,2
2018-04,62,35,3
2018-03,64,31,4
2018-02,64,33,3
2018-01,57,39,4
2017-12,62,34,3
2017-11,62,34,5
2017-10,61,33,5
2017-09,61,36,3
2017-08,59,36,5
2017-07,53,43,5
2017-06,58,36,6
2017-05,53,43,4
2017-04,50,45,5
2017-03,53,42,5
2017-02,54,42,4
2017-01,50,46,4
2016-12,43,53,4
2016-11,43,53,5
2016-10,42,54,3
2016-09,44,52,4
2016-08,39,57,5
2016-07,43,53,4
2016-06,43,53,4
2016-05,42,54,4
2016-04,40,58,3
2016-03,42,54,4
2016-02,40,56,4
2016-01,45,50,5
2015-12,44,52,4
2015-11,42,55,3
2015-10,43,55,3
2015-09,45,51,4
2015-08,39,56,5
2015-07,38,57,5
2015-06,41,55,4
2015-05,43,54,3
2015-04,43,53,4
2015-03,42,53,5
2015-02,40,56,5
2015-01,45,50,5
2014-12,36,61,2
2014-11,30,66,4
2014-10,31,66,3
2014-09,29,67,4
2014-08,30,64,6
2014-07,35,61,4
2014-06,28,68,5
2014-05,26,70,4
2014-04,30,66,3
2014-03,28,68,4
2014-02,27,70,3
2014-01,25,71,4
