rank;song;artist;year
1;Uptown Funk!;Mark Ronson feat. Bruno Mars;2015
2;Thinking Out Loud;Ed Sheeran;2015
3;See You Again;Wiz Khalifa feat. Charlie Puth;2015
4;Trap Queen;Fetty Wap;2015
5;Sugar;Maroon 5;2015
6;Shut Up and Dance;Walk The Moon;2015
7;Blank Space;Taylor Swift;2015
8;Watch Me;Silento;2015
9;Earned It (Fifty Shades Of Grey);Weeknd;2015
10;The Hills;Weeknd;2015
11;Cheerleader (Felix Jaehn Remix);OMI;2015
12;Can't Feel My Face;Weeknd;2015
13;Love Me Like You Do;Ellie Goulding;2015
14;Take Me To Church;Hozier;2015
15;Bad Blood;Taylor Swift feat. Kendrick Lamar;2015
16;Lean On;Major Lazer and DJ Snake feat. M0;2015
17;Want To Want Me;Jason Derulo;2015
18;Shake It Off;Taylor Swift;2015
19;Where Are U Now;Skrillex and Diplo With Justin Bieber;2015
20;Fight Song;Rachel Platten;2015
1;Love Yourself;Justin Bieber;2016
2;Sorry;Justin Bieber;2016
3;One Dance;Drake feat. WizKid and Kyla;2016
4;Work;Rihanna feat. Drake;2016
5;Stressed Out;twenty one pilots;2016
6;Panda;Desiigner;2016
7;Hello;Adele;2016
8;Don't Let Me Down;Chainsmokers feat. Daya;2016
9;Can't Stop The Feeling!;Justin Timberlake;2016
10;Closer;Chainsmokers feat. Halsey;2016
11;Cheap Thrills;Sia feat. Sean Paul;2016
12;7 Years;Lukas Graham;2016
13;Needed Me;Rihanna;2016
14;My House;Flo Rida;2016
15;I Took A Pill In Ibiza;Mike Posner;2016
16;Work From Home;Fifth Harmony feat. Ty Dolla $ign;2016
17;This Is What You Came For;Calvin Harris feat. Rihanna;2016
18;Cake By The Ocean;DNCE;2016
19;Me, Myself and I;G-Eazy x Bebe Rexha;2016
20;Ride;twenty one pilots;2016
1;Shape of You;Ed Sheeran;2017
2;Despacito (Remix);Luis Fonsi and Daddy Yankee featuring Justin Bieber;2017
3;That's What I Like;Bruno Mars;2017
4;Humble;Kendrick Lamar;2017
5;Something Just Like This;The Chainsmokers and Coldplay;2017
6;Bad and Boujee;Migos featuring Lil Uzi Vert;2017
7;Closer;The Chainsmokers featuring Halsey;2017
8;Body Like a Back Road;Sam Hunt;2017
9;Believer;Imagine Dragons;2017
10;Congratulations;Post Malone featuring Quavo;2017
11;Say You Won't Let Go;James Arthur;2017
12;I'm the One;DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne;2017
13;XO Tour Llif3;Lil Uzi Vert;2017
14;Mask Off;Future;2017
15;Unforgettable;French Montana featuring Swae Lee;2017
16;24K Magic;Bruno Mars;2017
17;Stay;Zedd and Alessia Cara;2017
18;Wild Thoughts;DJ Khaled featuring Rihanna and Bryson Tiller;2017
19;Black Beatles;Rae Sremmurd featuring Gucci Mane;2017
20;Starboy;The Weeknd featuring Daft Punk;2017
1;God's Plan;Drake;2018
2;Perfect;Ed Sheeran;2018
3;Meant to Be;Bebe Rexha featuring Florida Georgia Line;2018
4;Havana;Camila Cabello featuring Young Thug;2018
5;Rockstar;Post Malone featuring 21 Savage;2018
6;Psycho;Post Malone featuring Ty Dolla Sign;2018
7;I Like It;Cardi B, Bad Bunny and J Balvin;2018
8;The Middle;Zedd, Maren Morris and Grey;2018
9;In My Feelings;Drake;2018
10;Girls Like You;Maroon 5 featuring Cardi B;2018
11;Nice for What;Drake;2018
12;Lucid Dreams;Juice Wrld;2018
13;Better Now;Post Malone;2018
14;Finesse;Bruno Mars featuring Cardi B;2018
15;Boo'd Up;Ella Mai;2018
16;New Rules;Dua Lipa;2018
17;Sad!;XXXTentacion;2018
18;Never Be the Same;Camila Cabello;2018
19;Love Lies;Khalid and Normani;2018
20;No Tears Left to Cry;Ariana Grande;2018
1;Old Town Road;Lil Nas X featuring Billy Ray Cyrus;2019
2;Sunflower;Post Malone and Swae Lee;2019
3;Without Me;	Halsey;2019
4;Bad Guy;Billie Eilish;2019
5;Wow;Post Malone;2019
6;Happier;Marshmello and Bastille;2019
7;7 Rings;Ariana Grande;2019
8;Talk;Khalid;2019
9;Sicko Mode;Travis Scott;2019
10;Sucker;Jonas Brothers;2019
11;High Hopes;Panic! at the Disco;2019
12;Thank U, Next;Ariana Grande;2019
13;Truth Hurts;Lizzo;2019
14;Dancing with a Stranger;Sam Smith and Normani;2019
15;Señorita;Shawn Mendes and Camila Cabello;2019
16;I Don't Care;Ed Sheeran and Justin Bieber;2019
17;Eastside;Benny Blanco, Halsey and Khalid;2019
18;Going Bad;Meek Mill featuring Drake;2019
19;Shallow;Lady Gaga and Bradley Cooper;2019
20;Better;Khalid;2019
1;Blinding Lights;The Weeknd;2020
2;Circles;Post Malone;2020
3;The Box;Roddy Ricch;2020
4;Don't Start Now;Dua Lipa:2020
5;Rockstar;DaBaby featuring Roddy Ricch;2020
6;Adore You;Harry Styles;2020
7;Life Is Good;Future featuring Drake;2020
8;Memories;Maroon 5;2020
9;The Bones;Maren Morris;2020
10;Someone You Loved;Lewis Capaldi;2020
11;Say So;Doja Cat;2020
12;I Hope;Gabby Barrett featuring Charlie Puth;2020
13;Whats Poppin;Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne;2020
14;Dance Monkey;Tones and I;2020
15;Savage;Megan Thee Stallion featuring Beyoncé;2020
16;Roxanne;Arizona Zervas;2020
17;Intentions;Justin Bieber featuring Quavo;2020
18;Everything I Wanted;Billie Eilish;2020
19;Roses (Imanbek remix);Saint Jhn;2020
20;Watermelon Sugar;Harry Styles;2020
1;Levitating;Dua Lipa;2021
2;Save Your Tears;The Weeknd and Ariana Grande;2021
3;Blinding Lights;The Weeknd;2021
4;Mood;24kGoldn featuring Iann Dior;2021
5;Good 4 U;Olivia Rodrigo;2021
6;Kiss Me More;Doja Cat featuring SZA;2021
7;Leave the Door Open;Silk Sonic (Bruno Mars and Anderson .Paak);2021
8;Drivers License;Olivia Rodrigo;2021
9;Montero (Call Me by Your Name);Lil Nas X;2021
10;Peaches;Justin Bieber featuring Daniel Caesar and Giveon;2021
11;Butter;BTS;2021
12;Stay;The Kid Laroi and Justin Bieber;2021
13;Deja Vu;Olivia Rodrigo;2021
14;Positions;Ariana Grande;2021
15;Bad Habits;Ed Sheeran;2021
16;Heat Waves;Glass Animals;2021
17;Without You;The Kid Laroi;2021
18;Forever After All;Luke Combs;2021
19;Go Crazy;Chris Brown and Young Thug;2021
20;Astronaut in the Ocean;Masked Wolf;2021
1;Heat Waves;Glass Animals;2022
2;As It Was;Harry Styles;2022
3;Stay;The Kid Laroi and Justin Bieber;2022
4;Easy on Me;Adele;2022
5;Shivers;Ed Sheeran;2022
6;First Class;Jack Harlow;2022
7;Big Energy;Latto;2022
8;Ghost;Justin Bieber;2022
9;Super Gremlin;Kodak Black;2022
10;Cold Heart (Pnau remix);Elton John and Dua Lipa;2022
11;Wait for U;Future featuring Drake and Tems;2022
12;About Damn Time;Lizzo;2022
13;Bad Habits;Ed Sheeran;2022
14;Thats What I Want;Lil Nas X;2022
15;Enemy;Imagine Dragons and JID;2022
16;Industry Baby;Lil Nas X and Jack Harlow;2022
17;ABCDEFU;Gayle;2022
18;Need to Know;Doja Cat;2022
19;Wasted on You;Morgan Wallen;2022
20;Me Porto Bonito;Bad Bunny and Chencho Corleone;2022
1;Last Night;Morgan Wallen;2023
2;Flowers;Miley Cyrus;2023
3;Kill Bill;SZA;2023
4;Anti-Hero;Taylor Swift;2023
5;Creepin';Metro Boomin, The Weeknd & 21 Savage;2023
6;Calm Down;Rema & Selena Gomez;2023
7;Die For You;The Weeknd & Ariana Grande;2023
8;Fast Car;Luke Combs;2023
9;Snooze;SZA;2023
10;I'm Good (Blue);David Guetta & Bebe Rexha;2023
11;Unholy;Sam Smith & Kim Petras;2023
12;You Proof;Morgan Wallen;2023
13;Something In The Orange;Zach Bryan;2023
